product_name,price,discount,date,source,,
Checked Shirt with Patch Pocket,1359,0,28-09-2022,Myntra,,
Checked Shirt with Patch Pocket,1439,-6,05-10-2022,Myntra,,
Checked Shirt with Patch Pocket,800,41,25-10-2022,Myntra,,
Checked Shirt with Patch Pocket,1119,18,28-10-2022,Myntra,,
Checked Shirt with Patch Pocket,991,27,28-10-2022,Myntra,,
Checked Shirt with Patch Pocket,1119,18,30-10-2022,Myntra,,
Checked Shirt with Patch Pocket,1119,18,08-12-2022,Myntra,,
Checked Shirt with Patch Pocket,975,28,10-12-2022,Myntra,,
Checked Shirt with Patch Pocket,991,27,10-01-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,12-02-2023,Myntra,,
Checked Shirt with Patch Pocket,1039,24,16-02-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,17-02-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,19-02-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,24-02-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,24-02-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,25-02-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,28-02-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,28-02-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,01-03-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,03-03-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,07-03-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,08-03-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,10-03-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,12-03-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,20-03-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,23-03-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,24-03-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,25-03-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,31-03-2023,Myntra,,
Checked Shirt with Patch Pocket,1007,26,01-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,02-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,03-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1039,24,04-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,04-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,06-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,08-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,11-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,12-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,13-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,14-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1039,24,16-04-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,16-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,17-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1103,19,19-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1023,25,22-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1039,24,23-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1023,25,24-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1023,25,25-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1023,25,25-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,27-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1023,25,28-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,29-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,30-04-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,01-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,02-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,03-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,04-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,05-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,07-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,08-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,09-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,10-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,11-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,12-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,13-05-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,14-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,14-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,15-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,16-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,17-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,18-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,20-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,21-05-2023,Myntra,,
Checked Shirt with Patch Pocket,991,27,22-05-2023,Myntra,,
