product_name,price,discount,date,source
"OPP0 Reno13 5G (Ivory White, 8GB RAM+ 256GB Storage) | Mediatek Dimensity 8350 | AMOLED Display | Dual  SIM | 5600 mAh  Battery",36490,0.00%,03-02-2025,Amazon
"OPP0 Reno13 5G (Ivory White, 8GB RAM+ 256GB Storage) | Mediatek Dimensity 8350 | AMOLED Display | Dual  SIM | 5600 mAh  Battery",34990,4.11%,21-02-2025,Amazon
"OPP0 Reno13 5G (Ivory White, 8GB RAM+ 256GB Storage) | Mediatek Dimensity 8350 | AMOLED Display | Dual  SIM | 5600 mAh  Battery",34990,4.11%,22-02-2025,Amazon
"OPP0 Reno13 5G (Ivory White, 8GB RAM+ 256GB Storage) | Mediatek Dimensity 8350 | AMOLED Display | Dual  SIM | 5600 mAh  Battery",34490,5.48%,24-02-2025,Amazon
"OPP0 Reno13 5G (Ivory White, 8GB RAM+ 256GB Storage) | Mediatek Dimensity 8350 | AMOLED Display | Dual  SIM | 5600 mAh  Battery",32490,10.96%,03-03-2025,Amazon
"OPP0 Reno13 5G (Ivory White, 8GB RAM+ 256GB Storage) | Mediatek Dimensity 8350 | AMOLED Display | Dual  SIM | 5600 mAh  Battery",34400,5.73%,13-03-2025,Amazon
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,17-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,18-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,19-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,21-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,22-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,23-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,24-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,25-10-2024,Flipkart
DELL AIO Inspiron 5430 Core i7 (8 GB DDR4/1024 GB SSD/Windows 11 Home/24 Inch Screen/AIO Inspiron 5430 Core 7 150U),98890,0.00%,26-10-2024,Flipkart
