product_name,reviews,source
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS",134 ratings,Amazon
"ASUS Vivobook Go 14, Thin and Light Laptop, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS",92 ratings,Amazon
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W",452 ratings,Amazon
"ASUS Vivobook 15, Intel Core i3-1215U, 15.6"" FHD 16:9 60Hz 250nits, (8GB RAM/512GB SSD/Intel UHD Graphics/Win 11 Home/Office 2021/Backlit/42WHr Battery/Cool Silver/1.7 Kg), X1504ZA-NJ320WS",239 ratings,Amazon
"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS",235 ratings,Flipkart
"ASUS Vivobook 15 Thin and Light Laptop, Intel Core i5-12500H 12Th Gen, 15.6"" (39.62 Cm) FHD, 60Hz (16GB RAM/512GB/Windows 11/Office 2021/Blue/1.7 Kg), X1502ZA-EJ541WS",347 ratings,Flipkart
"ASUS Vivobook Go 14, Thin and Light Laptop, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS",92 ratings,Flipkart
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS",79 ratings,Flipkart
"ASUS VivoBook 15, 12th Gen, Intel Core i3-1215U, 15.6"" FHD, Thin & Light Laptop (8GB/512/Integrated Intel UHD Graphics/Windows 11/Office 2021/Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS",133 ratings,Flipkart
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Silver/1.38 kg), E1404FA-NK321WS",92 ratings,Flipkart
"ASUS Vivobook 15 (2023), Intel Core i5-1335U 13th Gen, 15.6"" (39.62 Cms) FHD, Thin and Light Laptop (8GB RAM /512GB SSD/Intel Iris X?/Windows 11/Office 2021/Fingerprint/Silver/1.7 Kg),X1504VA-NJ524WS",6 ratings,chroma
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office 2021/Backlit Keyboard/Quiet Blue/1.7 kg), X1504ZA-NJ521WS",93 ratings,chroma
"ASUS Vivobook 16X, 16"" FHD+, 144Hz 300nits, Intel Core i5-12500H 2.5 GHz, Creator/Gaming Laptop (16GB RAM/512GB SSD/RTX 4050/win 11/Office Home/70WHr Battery/Indie Black/1.80 kg), K3605ZU-RP304WS",177 ratings,chroma
"ASUS Vivobook 15, Intel Core i5-1335U 13th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (16GB RAM /512GB/Windows11/Office 2021/Fingerprint/Quiet Blue/1.7 kg),X1504VA-NJ543WS(X1504VA)",14 ratings,chroma
"ASUS TUF Gaming F15, Intel Core i7 12700H 12th Gen, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/90WHr/Jaeger Gray/2.2 Kg), FX577ZC-HN193W",11 ratings,chroma
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W",452 ratings,chroma
"ASUS Vivobook 15, Thin and Light Laptop, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD (8GB/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS",82 ratings,chroma
"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS",235 ratings,chroma
"ASUS Vivobook 15, Intel Core i3-1215U, 15.6"" FHD 16:9 60Hz 250nits, (8GB RAM/512GB SSD/Intel UHD Graphics/Win 11 Home/Office 2021/Backlit/42WHr Battery/Cool Silver/1.7 Kg), X1504ZA-NJ320WS",239 ratings,chroma
"ASUS Vivobook Go 14, 14"" FHD (1920 x 1080), AMD Ryzen 5 7520U Processor,(16GB RAM/512GB SSD/AMD Radeon iGPU/Windows 11/MS Office 365 Basic (1Year)*/Office Home 2024/Silver/1.38 kg),E1404FA-NK5541WS",,chroma
"Dell Inspiron 3530 13th Gen Laptop, Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits Narrow Border/Windows 11+MSO'21/McAfee 15 Month/Platinum Silver/1.62kg",213 ratings,Amazon
"(Renewed) DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021",7 ratings,Amazon
"(Refurbished) Dell Latitude 3560 5th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR3 RAM|500GB HDD GB HDD|15.5"" HD|Windows 10 Pro|Webcam|Intel HD Graphics)",,Amazon
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light",905 ratings,Amazon
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg/MS Office 2021,7 ratings,Amazon
"(Refurbished) Dell Latitude 3580 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR3 RAM|500GB HDD GB HDD|15.5"" HD|Windows 10 Pro|Webcam|Intel HD Graphics)",,Amazon
