product_name,price,discount,date,source
Samsung Galaxy Z Flip 6,84999.0,9.0,2025-03-18,Amazon
Samsung Galaxy Z Flip 6,109999.0,9.0,2025-03-18,Flipkart
Samsung Galaxy Z Fold 6,164999.0,5.0,2025-03-18,Amazon
Samsung Galaxy Z Fold 6,164999.0,5.0,2025-03-18,Flipkart
Apple iPhone 16 Pro Max,137900.0,6.0,2025-03-18,Amazon
Apple iPhone 16 Pro Max,135900.0,6.0,2025-03-18,Flipkart
OnePlus 13,76998.0,10.0,2025-03-18,Amazon
OnePlus 13,65795.0,9.0,2025-03-18,Flipkart
Apple Watch Series 9,51399.0,7.0,2025-03-18,Amazon
Apple Watch Series 9,41900.0,7.0,2025-03-18,Flipkart
Apple MacBook Air Laptop,88990.0,0.0,2025-03-18,Amazon
Apple MacBook Air Laptop,81099.0,9.0,2025-03-18,Flipkart
Apple AirPods Pro (2nd Generation),1649.0,0.0,2025-03-18,Amazon
Apple AirPods Pro (2nd Generation),19999.0,19.0,2025-03-18,Flipkart
NIKE Mens Jordan Stay Loyal 3 Running Shoes,7824.0,0.0,2025-03-18,Amazon
NIKE Mens Jordan Stay Loyal 3 Running Shoes,10295.0,0.0,2025-03-18,Flipkart
Premium Aquatic Eau De Cologne,199.0,0.0,2025-03-18,Amazon
Premium Aquatic Eau De Cologne,108.0,20.0,2025-03-18,Flipkart
Samsung S24 Ultra,99830.0,0.0,2025-03-18,Amazon
Samsung S24 Ultra,119999.0,11.0,2025-03-18,Flipkart
Redmi Note 13 Pro,24299.0,0.0,2025-03-18,Amazon
Redmi Note 13 Pro,19499.0,32.0,2025-03-18,Flipkart
L'Oreal Paris Hyaluron Moisture 72HR Moisture Filling Shampoo,1109.0,0.0,2025-03-18,Amazon
L'Oreal Paris Hyaluron Moisture 72HR Moisture Filling Shampoo,920.0,36.0,2025-03-18,Flipkart
Lakmé 9 to 5 Kajal Twin Pack,310.0,0.0,2025-03-18,Amazon
Lakmé 9 to 5 Kajal Twin Pack,266.0,30.0,2025-03-18,Flipkart
Puma Women's Pacific Maze Sneaker,1920.0,0.0,2025-03-18,Amazon
Puma Women's Pacific Maze Sneaker,3999.0,0.0,2025-03-18,Flipkart
