product_name,reviews,source
Samsung Galaxy Z Flip 6,"Got my phone well in time, completely sealed pack.",Amazon
Samsung Galaxy Z Flip 6,ओल्ड फोन दे दिया हमको नहीं लेना न्यू चाहिए,Amazon
Samsung Galaxy Z Flip 6,"Best phone in flip series with fast processor, great camera and best battery backup in flip category !!!!
Best purchase",Amazon
Samsung Galaxy Z Flip 6,"All over youtube - display doesn't work after 20 days of light usage. Did not drop it, been in a case since day 1 and the display won't switch on. Absolutely horrible reliability. DO NOT BUY.",Amazon
Samsung Galaxy Z Flip 6,"Charging is not up to the mark, it's getting down very fast.",Amazon
Samsung Galaxy Z Flip 6,"Please dont buy this product. I had it purchased for Rs 11000. Within a month the display became non functional which was replaced. After 2 months again the screen becomes non responsive. There was no physical damage. Samsungs authorized service center is the worst and they have found an imaginary scratch and says the damage might be due to this and are not honoring the warranty.
It is a horrible experience. The phone is nothing special and is nowhere near the iphones of past 4 years. Please donot buy this product, It is just a fancy item.",Amazon
Samsung Galaxy Z Flip 6,"I bought flip 5 from store. I have got the screen replaced once and to pay 30k, as they said it got weird colors on the folding line because of a dent.
I have started seeing again a green light on the flip line, even when phone has not fallen.
It is too fragile to be handled. Also, of it is so fragile, they should share handling instructions as phone is bound to fall at times",Amazon
Samsung Galaxy Z Flip 6,"Don't fall for shine and cuteness of flip, its screen got unresponsive within two months, when I visited service center, I was told it is very delicate piece and requires child like care. No one says so while at the time of sale in in advance, what is the point of a phone if it cannot be kept in pocket or used. Worst money spent",Amazon
Samsung Galaxy Z Flip 6,"Just a Lovely product ✨️
Best design and quality so far in FLIP category.
Great main screen as well cover screen experience.

Camera 📷 quality is also great.
Battery 🔋 is sufficient for full day of extensive use.",Flipkart
Samsung Galaxy Z Flip 6,"Just a Lovely product ✨️
Best design and quality so far in FLIP category.
Great main screen as well cover screen experience.

Camera 📷 quality is also great.
Battery 🔋 is sufficient for full day of extensive use.",Flipkart
Samsung Galaxy Z Flip 6,"Outstanding Profamemc Awesome Camera
Display is wow 😲",Flipkart
