Site,Product Name,Price
Amazon,adidas Men's Striped Fitted T-Shirt,709
Amazon,Ray-Ban UV Protected Pilot Sunglasses for Men - 0RB3432I,"5,119"
Amazon,Puma Unisex Caven 2.0 Sneaker,"3,419"
Amazon,Fossil Eevie Analog Rose Gold Dial and Band Women's Stainless Steel Watch-BQ3721,"8,746"
Amazon,Skybags Flex 22L Backpack Blue,672
AJIO,Full-Rim UV Protected Aviators,"₹6,561"
AJIO,Smashic Unisex Sneakers,"₹1,485"
AJIO,Women Analogue Rose Gold Watch - BQ3721,"₹8,747"
AJIO,Travel Backpack with Adjustable Straps,₹573
Myntra,ADIDAS Originals,₹2249
Myntra,Ray-Ban,₹5301
Myntra,Puma,₹1934
Myntra,Fossil,₹8746
Myntra,Skybags,₹883
Nykaa,adidas Originals Tiboa Dir Tee White Casual T-shirts,"₹1,440"
