product_name,price,discount%,date,source
U.S. Polo Assn. Men's Sneaker,2339,0,25-02-2025,Amazon
U.S. Polo Assn. Men's Sneaker,2339,0,26-02-2025,Amazon
U.S. Polo Assn. Men's Sneaker,2159,7.7,10-03-2025,Amazon
U.S. Polo Assn. Men's Sneaker,2339,0,12-03-2025,Amazon
Apple Watch Series 9 ,41900,0,16-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,17-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,20-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,21-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,25-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,25-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,26-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,27-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,28-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,29-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,30-09-2023,Flipkart
Apple Watch Series 9 ,41900,0,01-10-2023,Flipkart
Apple Watch Series 9 ,41900,0,02-10-2023,Flipkart
Apple Watch Series 9 ,41900,0,03-10-2023,Flipkart
Apple Watch Series 9 ,41900,0,04-10-2023,Flipkart
Apple Watch Series 9 ,41900,0,05-10-2023,Flipkart
Apple Watch Series 9 ,32999,21.24,13-01-2024,Flipkart
Apple Watch Series 9 ,41900,0,20-01-2024,Flipkart
Apple Watch Series 9 ,34999,16.47,24-01-2024,Flipkart
Apple Watch Series 9 ,41900,0,26-01-2024,Flipkart
Apple Watch Series 9 ,34999,16.47,26-01-2024,Flipkart
Apple Watch Series 9 ,41900,0,31-01-2024,Flipkart
Apple Watch Series 9 ,32999,21.24,01-02-2024,Flipkart
Apple Watch Series 9 ,41900,0,08-02-2024,Flipkart
Apple Watch Series 9 ,32999,21.24,09-03-2024,Flipkart
Apple Watch Series 9 ,41900,0,16-03-2024,Flipkart
Apple Watch Series 9 ,41899,0,12-04-2024,Flipkart
Apple Watch Series 9 ,41900,0,14-04-2024,Flipkart
Apple Watch Series 9 ,38339,8.5,21-04-2024,Flipkart
Apple Watch Series 9 ,34999,16.47,22-04-2024,Flipkart
Apple Watch Series 9 ,35999,14.08,24-04-2024,Flipkart
Apple Watch Series 9 ,32499,22.44,02-05-2024,Flipkart
Apple Watch Series 9 ,41900,0,08-05-2024,Flipkart
Apple Watch Series 9 ,35499,15.28,09-05-2024,Flipkart
Apple Watch Series 9 ,41900,0,12-05-2024,Flipkart
Apple Watch Series 9 ,35499,15.28,04-06-2024,Flipkart
Apple Watch Series 9 ,41900,0,09-06-2024,Flipkart
Apple Watch Series 9 ,35499,15.28,18-06-2024,Flipkart
Apple Watch Series 9 ,41900,0,21-06-2024,Flipkart
Apple Watch Series 9 ,35499,15.28,22-06-2024,Flipkart
Apple Watch Series 9 ,41900,0,23-06-2024,Flipkart
Apple Watch Series 9 ,36999,11.7,14-07-2024,Flipkart
Apple Watch Series 9 ,34999,16.47,15-07-2024,Flipkart
Apple Watch Series 9 ,41900,0,19-07-2024,Flipkart
Apple Watch Series 9 ,32999,21.24,20-07-2024,Flipkart
Apple Watch Series 9 ,34999,16.47,21-07-2024,Flipkart
