product_name,reviews,source
U.S. Polo Assn. Men's Sneaker,Amazing Product however size was the concern for me. I ordered 7 & it’s not fitting tight. Rest loved it,Amazon
U.S. Polo Assn. Men's Sneaker,,Amazon
U.S. Polo Assn. Men's Sneaker,,Amazon
U.S. Polo Assn. Men's Sneaker,"First of all the box is all torn up, thus I'm deducting 1 star, Second thing the looks of shoes looks nice at first glance when you open the box, but when you wear it it's not comfortable for daily use, it's a tight fit my toe fingers couldn't even breathe, but you can wear this occasionally. If you are looking for looking for a good looking shoes for Shoes for occasional use, go for it, I wouldn't recommend it for daily use.",Amazon
U.S. Polo Assn. Men's Sneaker,"The shoes are so heavy and can’t wear it , uncomfortable, waste of all money , the looks r good but it doesn’t matter when we can’t wear it",Amazon
U.S. Polo Assn. Men's Sneaker,"Good quality, comfort to wear.",Amazon
U.S. Polo Assn. Men's Sneaker,Only problem is when I ordered as per the size measurement mentioned in the product measurement still the size was different. I ordered 26 cm approx size and the size came was 28 cm.,Amazon
U.S. Polo Assn. Men's Sneaker,Excellent,Amazon
U.S. Polo Assn. Men's Sneaker,"Good product,only cushioning could have been better.",Amazon
U.S. Polo Assn. Men's Sneaker,Good product but size too big,Amazon
Apple iPhone 12 (64GB) - Black,"A powerful device with a stunning display and smooth performance. The camera quality is top-notch, but battery life could be improved.",Amazon
Apple iPhone 12 (64GB) - Black,"The iPhone 12 is the latest iteration of Apple's iconic smartphone series, and it continues to impress with its sleek design, powerful performance, and impressive camera capabilities. As a proud owner of the iPhone 12, I'd like to share my experiences and thoughts in this review.

Design and Build Quality (5/5):
Apple's design philosophy shines through in the iPhone 12. The flat-edged, aerospace-grade aluminum frame feels premium and comfortable to hold. The Ceramic Shield front cover offers extra durability, making me feel more confident in everyday use. The device is available in a variety of stunning colors, and the Super Retina XDR OLED display is simply brilliant, providing vibrant colors and deep blacks.

Performance (5/5):
Equipped with Apple's A14 Bionic chip, the iPhone 12 delivers top-notch performance. It handles multitasking, gaming, and demanding apps with ease. The device feels incredibly responsive, and I've never experienced any lag or slowdown, even with resource-intensive tasks.

Camera (4.5/5):
The iPhone 12 features a dual-camera system with a 12 MP wide and ultra-wide lens. The Night mode and Deep Fusion technology excel in low-light conditions, and the Smart HDR 3 makes every shot look stunning. However, compared to its more expensive sibling, the iPhone 12 Pro, it lacks a telephoto lens. Nonetheless, for the average user, the camera quality is more than satisfactory.

iOS 15 (5/5):
The iPhone 12 runs on iOS 15, which is Apple's latest and most feature-rich operating system. It's intuitive, secure, and keeps your device up-to-date. The App Library and widgets have been great additions, enhancing the user experience. Privacy features like App Tracking Transparency are commendable.

Battery Life (4/5):
While the iPhone 12's battery life is decent, it may not be the best among its competitors. It comfortably gets me through a full day of moderate use, but power users might need a top-up in the evening. However, the MagSafe wireless charging and support for fast charging (adapter sold separately) make it convenient to juice up quickly.

5G Connectivity (4.5/5):
With 5G support, the iPhone 12 is future-proofed for faster data speeds and improved connectivity. While 5G coverage may vary by region, it's an added bonus for those planning to keep their device for a few years.

Conclusion:
The iPhone 12 strikes an excellent balance between style and substance. It's a device that caters to the needs of a broad user base, offering impressive performance, a stunning display, and a camera that captures beautiful moments. iOS 15 brings a plethora of features to the table, and the device's design is nothing short of elegant. While battery life and the absence of a telephoto lens might deter some, for most users, the iPhone 12 is a fantastic choice, providing a premium Apple experience without the premium price tag.",Amazon
Apple iPhone 12 (64GB) - Black,"SUMMERY: As a first time iPhone user, I would say one should definitely buy iPhone ONLY for premium built & premium hardware (will talk later) while the whole iOS experience is pretty overrated. iPhones isn't any exceptionally fast with normal apps like YouTube, Insta etc, Android phones are equally snappy with them in 2022.

PROS:
1. Impressive hardware, the heptics, the autobrightness & otherwise highly ignored things in Android are way too perfectly executed in iPhone and it DOES make a big difference in user experience!!
2. The screen is AMAZING.. it doesn't have 90 or 120 hz refresh rate but it FEELS better than my Nord with 90 hz!!
3. A14 bionic promises years of performance ahead.
4. Battery life is somewhere in between good & great.
5.
6. The dimensions of phone, it's smaller than usual android phones and feels much more handy along with less weight.
7. Overall build quality is great.
8. Best audio output out there.
9. Long term support.

CONS:
1. SLOW CHARGING. 20 W only, you'll be jealous of 1/3rd price phones with 60 W charging. Yes that much high charging will effect health of battery but 20 W is way way too less, if Apple is such a legendary company they should have created a battery that can withstand decently fast charging while instead they just use slow charging to keep their battery's health.
2. Overy exhagerated software experience, reality is that Android is more user friendly with better gesture & commonsense options & settings & steps to do simple things. iOS looks pretty yes but UX engineers at Apple have really done a crappy job.. there's still no notification grouping in correct manner (its executed poorly), no proper homescreen customisation & just so so so many ""commonsense"" things are missing from iOS I can rant all day about it. Everything you can do in Android with a single click or swipe takes 2 swipes and then a click to do in iOS its SOOOOO ANNOYING. Like you want to clear a notification? Swipe and then click on clear. You want to open a notification? Swipe FIRST and then click open.. like wth????????
3. DON'T believe Apple fanboys who scream about speed, Android phones are equally snappy in performance today. There are split second app loading times in iOS also, just like in Android. And yeah iOS DOES HAVE occasional bugs too, apps taking too much time sometimes etc etc.
4. FaceID is nice but an in-fingerprint reader seems the best ID to me atleast, that's missing.
5. Ridiculously expensive accessories
6. Battery life is above good but not great.

In the end I would say iPhone, overall, does provide a better experience (mostly cuz of hardware only) but it's expensive. Do know that you're NOT buying a value-for-money phone at all, so buy it only if you can afford it without much difficulty.",Amazon
Jabra Elite 3 Bluetooth,"Pros:
1. Decent packaging.
2. Good build quality. The case doesn't feel premium, but doesn't feel cheap either.
3. Pairs effortlessly. Mono mode is as simple as putting one side in the case.
4. Decent sound quality. No jitter at high/low frequency.
5. Hear through functionality is wonderful. You also hear your own voice when you're in a call so you won't be shouting when talking.
6. Jabra sound app is amazing. All the necessary controls are available and work very well.
7. Type C charging port.

Cons:
1. The ability to pair both sides independently should have been provided. I sometimes use my mobile and laptop, both at the same time and have to switch between calls.
2. The white noise doesn't go away. It's not an issue while listening to music, but it's just there and is a little annoying.
3. Should have had more colour options.

Verdict:

The product was delivered within a day. The box contains the earbuds in its case, 3 sets of silicon plugs, a small USB-C cable and documentation. These don't come charged in the box so you'll have to wait for a while.
Pairing this was straight forward. I definitely recommend downloading the Jabra Sound app and tune the sound to your liking through the 6 band equalizer. Also, the registration for warranty can be done on the app itself.

Jabra doesn't advertise this as an earphone built for music, or audiophile grade.
That's a good starting point.
These earbuds give you a good build quality, efficient connectivity and above average sound quality at a very, very good price.
My requirement is to be able to take calls on the move and casually listen to music on YouTube sometimes. It does all of that very well.
I can't compare it with audiophile earbuds because it's a different league. But at this price (brought for 3999), it clearly beats the competition.",Amazon
Jabra Elite 3 Bluetooth,"This one is really good and better sound quality. The 6 mm driver well performed at road side surrounded. I fear to before get earbuds because the driver size is 6 mm only they performed sound is very low but I was wrong. The sound is enough and enough. Comfortable to fit. Than sound plus app one of the good thing. The app here many of the modes netural,bass boost, treble boost,vocal,voice, energized, customised mode. I am preferred treble and bass boost melody songs and treble combination is lovely everytime. Bass is also good but I hear only melody songs so I don't use bass mode.
Advantages
1.Premium look
2.buds quality is well
3.present in hearthrough mode
4.jabra sound plus app
5.customize sound
6.bulid in alexa assistant
7.better sound quality
8.mono buds performed well
Disadvantages
1.buds case comes with normal quality. I am not satisfied case quality.
2.Sound latency in while playing game
Over all usage is very good. Minimum level disadvantages are present but it's not a matter the sound and quality buds is well",Amazon
Jabra Elite 3 Bluetooth,"I am writing this review after more than a week from the day these buds were delivered. Personally, I would recommend the lilac color - it looks great in pics and even better in person. The packaging feels premium and 2 additional pairs of ear-tips (apart from the pre-fitted ones) are provided along with a type-C cable which feels premium too.

In terms of sound, these are amazing and they sound really good for the price and the audio output is very clear. Personally I would recommend using it with the ""Jabra Sound+"" app that is available on Playstore using which minor tweaks can be done to the sound output and even the sound graph can be modified. The hear-through feature, which even though felt like a gimmick to me, is a welcoming feature at this price point. All in all - great sounding buds for the price.

And coming to the call quality - something Jabra is known for, these buds did not disappoint and the call quality is clear and the other party was able to hear me clearly and I did not face any issues during calls.

One con would be that the top of the case felt felt a little shaky/flimsy while opening/closing but again these might be an issue with the particular unit I received and is clearly not a deal breaker to most people.

So to sum it up - these are great buds for the price and I would definitely recommend these over the overpriced OnePlus buds which sound mediocre and just use brand name to justify the price. If you can get these Jabra buds for under 2800, then go for it!!!",Amazon
Jabra Elite 3 Bluetooth,"The latest iteration from Jabra looked promising.
But boy did it disappoint me.
The main issue with these earphones are the prominent hissing sound (white noise) it produces almost all the time. Even if you play music at high volumes, you can hear a hiss in the background and it is really annoying.
I thought it was the issue with my pair and got them replaced. But the new pair had the same issue too. So it is an issue with almost all pairs.

It is sad because other than that these earphones have a lot of potential. The sound quality is bang on with rich bass that is not muddy. The mids and highs were warm and clear. The build is not the best especially in case of the case (ಠﭛಠ), the lid is wiggly and feels cheap. The fit was good and secure but felt like you entered a vaccum chamber.
Overall a solid pair but completely destroyed because of one single major issue.",Amazon
Jabra Elite 3 Bluetooth,"I enjoy listening to my audio books. The sound is awesome!
I bought another set for a friend & she is delighted.",Amazon
Jabra Elite 3 Bluetooth,Good sound quality and comfortable to wear.,Amazon
Jabra Elite 3 Bluetooth,"Excellent sound , which is very important for me.
It connected to both my devices- iPad and phone, so I can use either.
Calls are clear and noise free ( minimum outside sounds).
I am enjoying using my Jabra earbuds!",Amazon
Jabra Elite 3 Bluetooth,"Exelent pair of earbuds, easy to use and setup, exelent noise cancellation, comfortable to wear, stay in place, very good design,very stylish charging box/case.
Very happy with this product and good value for money, I highly recommend this Jabra product.",Amazon
Jabra Elite 3 Bluetooth,I had previously bought one for me and I like it so much that I decided to buy my son one as a gift. I love the ANC feature and also the way it fits perfectly into my ears. It does not hang down like the Apple earbuds which I hate : ( Jabra is also a very good product!,Amazon
HP 15 AI Laptop,"No technician has been visited to my home for checking my New HP laptop issue heating issue and keep on shutdown every 30 mins, but ticket has been closed without resolution( mention ticket resolution like this( Laptop Inspection Service... has been completed. ), this is very worest HP Laptop, why new laptop coming too much heating issue and suddenly shutdown issue and very very slow while doing work, may be this republished laptop I guess so only like this happenings, Kindly take on high priority and provide me refund and tq...",Amazon
