,question,answer,answer_context
0,What is the main topic or subject of the training you are requesting?,machine learning,Employee: We're hoping to improve our machine learning research skills. But no special accommodations are needed.
1,Are there any special requirements or accommodations needed for the training?,no special accommodations are needed,Employee: We're hoping to improve our machine learning research skills. But no special accommodations are needed.
2,How many people will be participating in the training? (Enter a number),Three,Employee: Three people will be participating and we'd like it to run for two days.
3,How long should the training last? (Specify in hours or days),two days,Employee: Three people will be participating and we'd like it to run for two days.
4,What is your budget for this training? (Enter the amount in your local currency),$5000,Employee: Our budget is $5000. We want to come away with better research skills.
5,What are the desired outcomes or goals of this training?,better research skills,Employee: Our budget is $5000. We want to come away with better research skills.
6,What are your preferred dates for the training? (Enter the dates in YYYY-MM-DD format),"June 15th, 2023","Employee: We're hoping for some online seminars on June 15th, 2023."
7,"What format do you prefer for the training? (e.g., Online, In-person, Workshop, Seminar)",online seminars,"Employee: We're hoping for some online seminars on June 15th, 2023."
8,"What is the current skill level of the participants? (e.g., Beginner, Intermediate, Advanced)",intermediate,Employee: Their level is intermediate. The coordinator is Henry Kim and you can reach him at hkim@researchlab.com or 555-1234.
9,"Please provide contact information for the person coordinating the training (Name, Email, Phone).",hkim@researchlab.com or 555-1234,Employee: Their level is intermediate. The coordinator is Henry Kim and you can reach him at hkim@researchlab.com or 555-1234.
10,What is the time period for this review? (Enter the date range in YYYY-MM-DD format),the past year,Employee: The time period we're reviewing is the past year.
11,What is the overall performance rating of the employee? (Rate from 1 to 5),4,Employee: I would rate my overall performance as a 4.  
12,What areas require improvement for the employee?,time management,Employee: Two areas I think I could improve on are time management. My name is Amir Khaled.
13,What is the name of the employee being reviewed?,Amir Khaled,Employee: Two areas I think I could improve on are time management. My name is Amir Khaled.
14,How well did the employee achieve their set goals? (Rate from 1 to 5),4,Employee: I achieved my set goals at a level of 4. Additional training in pastry skills would be helpful.
15,"What type of additional training, if any, does the employee need?",pastry skills,Employee: I achieved my set goals at a level of 4. Additional training in pastry skills would be helpful.
16,Describe any leadership qualities exhibited by the employee.,I mentor junior chefs,Employee: I mentor junior chefs. My role is chef.  
17,What is the job role of the employee?,chef,Employee: I mentor junior chefs. My role is chef.  
18,What goals should be set for the next review period?,Learning new cuisines,Employee: Learning new cuisines should be a goal for the next review period.
19,How would you rate the employee’s contribution to team projects? (Rate from 1 to 5),5,Employee: I would rate my contribution to team projects as a 5. I have improved my cooking skills.
20,Describe the skill development or learning growth shown by the employee.,I have improved my cooking skills,Employee: I would rate my contribution to team projects as a 5. I have improved my cooking skills.
21,What is the purpose of this access request?,required for my job responsibilities,Employee: The access request is required for my job responsibilities.
22,Are there any additional notes or comments related to this access request?,"No, there are no additional notes needed","Employee: No, there are no additional notes needed."
23,"How long do you need the access for? (Specify duration in days, weeks, or months)",ongoing basis,"Employee: I will need the access on an ongoing basis. My name is Amir Khaled, my email is amir.khaled@email.com and my phone number is +1-555-0345.  "
24,"Please provide your contact information (Name, Email, Phone).",Amir Khaled,"Employee: I will need the access on an ongoing basis. My name is Amir Khaled, my email is amir.khaled@email.com and my phone number is +1-555-0345.  "
25,"What type of access are you requesting? (e.g., System, Building, Document)",system access,Employee: I am requesting system access. John Smith approved the request.
26,Do you have approval from your supervisor or a relevant authority? (Name of approver),John Smith,Employee: I am requesting system access. John Smith approved the request.
27,"What is your current security clearance status, if applicable?",3,"Employee: My current security clearance level is 3. Yes, I had access approximately 3 years ago."
28,Have you had access to these resources or areas before? (Please describe),"Yes, I had access approximately 3 years ago","Employee: My current security clearance level is 3. Yes, I had access approximately 3 years ago."
29,Are there specific resources or areas you need access to? (Please specify),accounting software system,Employee: I need access to the accounting software system. My employee ID number is AK230981.
30,Please provide your employee or user identification number.,AK230981,Employee: I need access to the accounting software system. My employee ID number is AK230981.
31,"What level of access do you require? (e.g., Full, Read-Only, Limited)",full,Employee: I am looking for full access.
32,"Do you have any specific transportation needs for the relocation? (e.g., Vehicle transport, Flight arrangements)","Yes, I'll need help arranging for my vehicle to be transported","Employee: Yes, I'll need help arranging for my vehicle to be transported."
33,Are there any special accommodations or requirements needed for the relocation?,"No, I don't have any other special needs","Employee: No, I don't have any other special needs."
