Product Name,Price,Reviews,Source
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00",Exceeded my expectations. Highly recommended!,Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Nice product, but could be slightly better.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Not the best experience, improvements needed.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Nice product, but could be slightly better.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Not very satisfied, has some issues.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00",Love it! Would definitely buy again.,Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Worth the price, but has minor flaws.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Fair product, but wouldn't buy again.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00",Absolutely fantastic! Worth every penny.,Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00",Works fine but has a few drawbacks.,Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00",Absolutely fantastic! Worth every penny.,Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00","Not very satisfied, has some issues.",Amazon
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999.00",High quality and performs perfectly!,Amazon
