Site,Product Name,Price
Amazon,"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery-Black","3,990"
Amazon,"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)","61,900"
Amazon,"Samsung Galaxy F55 5G (Raisin Black, 128 GB) (8 GB RAM)",
Amazon,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","16,599"
Amazon,Canon EOS 1500D 24.1MP Digital SLR Camera (Black) With EF S18-55 IS II Lens - Wi-Fi / NFC Supported,"37,499"
Myntra,ADIDAS Originals,₹2399
Myntra,Ray-Ban,₹5301
Myntra,Puma,₹1574
Myntra,Fossil,₹8746
Myntra,Skybags,₹883
